z;ez;FWHM;eFWHM;SdV;eSdV;L_transition;eL_transition;magnification;err_magnification
2.7961;0.0001;111;19;205;29;75508265857;10681657121;18.1;3.6
2.8;;550;;29;99;18109685197;99;18.1;3.6
2.2853;0.0001;169;39;434;47;1.13456E+11;12286742328;17;
2.2858;0.0002;140;30;0.05;0.01;22117464374;4423492875;17;
4.6949;0.0003;333;30;0.12;0.01;1.015E+11;8417115914;1;
4.69;0.01;;;31;99;44065204845;99;1;
2.5836;0.0005;487;101;0.27;0.07;87076451688;22575376363;1;
2.5758;0.0001;177;80;13;4;7055352485;2170877688;1;
2.5564;0.0004;468;94;1.378;0.25;4.36513E+11;79193244280;11;
2.5569;0.0006;;;69;12;36983100447;6431843556;11;
2.808;2;;;0.7;0.18;2.59667E+11;66771393181;2.5;
1.062;1;;;73;99;7857844877;99;2.5;
2.8083;0.0007;824;;0.6;0.12;2.22611E+11;44522194118;2.5;
2.803;3;;;0.08;99;50047093138;99;2.5;
2.847;0.0004;505;75;644;82;2.44446E+11;31125063703;1.6;
2.837;3;550;;0.05;99;31914298395;99;1.6;
2.5653;0.0001;151;19;0.32;0.03;1.01966E+11;9559356232;5;
2.562;2;;;0.02;99;10756022741;99;5;
1.575;5;;;1;0.2;1.3449E+11;26881731159;5.8;2.9
1.575;5;;;0.17;0.06;38648994703;13640821659;5.8;2.9
2.3259;0.0001;;;2.16;0.11;5.82111E+11;29644522528;32.5;4.5
2.3259;0.0001;;;0.3;99;1.36752E+11;99;32.5;4.5
0.02;;;;3.74;0.63;123716078;20839874.11;1;
0.02;;;;7.96;0.79;263310155.4;26132540.55;1;
0.03;;;;1.9;0.53;142116203.9;39642941.09;1;
0.01;;;;3.8;0.9;31265914.42;7405084.995;1;
0.02;;;;3.59;0.58;118754203.3;19185915.85;1;
0.02;;;;2.21;99;73104955.21;99;1;
0.02;;;;3.74;99;123716078;99;1;
0.02;;;;6.49;1.16;214683782.5;38371831.69;1;
0.04;;;;3.85;0.69;514432168.5;92196934.1;1;
0.05;;;;3.74;99;784525287.9;99;1;
0.05;;;;5.17;99;1084490839;99;1;
0.03;;;;2.37;0.58;177271264.9;43382841.2;1;
0.03;;;;3.96;0.58;296200088.2;43382841.2;1;
0.04;;;;5.54;1.05;740247847.7;140299682.3;1;
0.03;;;;4.96;0.63;370998090.2;47122741.3;1;
0.06;;;;3.16;0.42;958918886.7;127451244.4;1;
0.06;;;;1.9;99;576565153.4;99;1;
0.03;;;;2.9;99;216914206;99;1;
0.02;;;;5.01;1.11;165726617.9;36717873.43;1;
0.02;;;;7.96;1.37;263310155.4;45318456.4;1;
0.02;;;;7.17;0.9;237177614.9;29771248.73;1;
0.08;;;;4.32;99;2351261449;99;1;
0.08;;;;2.74;99;1491309345;99;1;
0.02;;;;6.86;0.9;226923073.6;29771248.73;1;
0.03;;;;3.53;0.53;264036947.3;39642941.09;1;
0.02;;;;2.85;0.58;94275620.97;19185915.85;1;
0.02;;;;6.43;1;212699032.6;33079165.25;1;
0.03;;;;5.06;0.79;378477890.5;59090421.63;1;
0.01;;;;16.93;1.69;139297876.6;13905104.05;1;
0.09;;;;1.85;0.58;1279805078;401236186.8;1;
0.02;;;;5.12;0.84;169365326.1;27786498.81;1;
0.01;;;;12.08;1.63;99392696.38;13411431.71;1;
0.05;;;;5.17;99;1084490839;99;1;
0.04;;;;2.79;0.47;372796298.8;62800810.18;1;
0.03;;;;4.06;0.53;303679888.4;39642941.09;1;
0.02;;;;5.33;1.05;176311950.8;34733123.52;1;
0.02;;;;5.75;0.79;190205200.2;26132540.55;1;
0.02;;;;3.53;0.63;116769453.3;20839874.11;1;
0.04;;;;2.85;99;380813423.5;99;1;
0.02;;;;4.43;1.11;146540702.1;36717873.43;1;
0.02;;;;8.6;1.16;284480821.2;38371831.69;1;
0.02;;;;2.06;0.53;68143080.42;17531957.58;1;
0.02;;;;2.27;0.53;75089705.13;17531957.58;1;
0.03;;;;0.9;0.26;67318201.86;19447480.54;1;
0.03;;;;3.01;0.69;225141986.2;51610621.43;1;
0.02;;;;13.82;2.53;457154063.8;83690288.09;1;
0.02;;;;7.12;0.95;235523656.6;31425206.99;1;
0.01;;;;6.38;0.84;52493824.74;6911412.662;1;
0.01;;;;14.61;1.16;120209213.1;9544331.772;1;
0.02;;;;4.38;0.53;144886743.8;17531957.58;1;
0.03;;;;3.53;0.53;264036947.3;39642941.09;1;
0.06;;;;4.27;1.42;1295754318;430906588.3;1;
0.04;;;;11.44;1.05;1528598444;140299682.3;1;
